model,horizon,mae_mean,mae_std,rmse_mean,rmse_std,fold_count
baseline_linear,1,0.3504567715255325,0.13720275769761084,0.40983105430021083,0.14243791070883755,8
xgboost,1,0.23075499868538657,0.056819227265474635,0.28856280388188843,0.060078581967109426,8
baseline_linear,2,0.37927463681004453,0.1496662637361622,0.44140216239662217,0.1542620248754011,8
xgboost,2,0.2496162479273764,0.08032782460808534,0.30794637718275636,0.0840261150566511,8
baseline_linear,3,0.4505644759668975,0.21559286397393107,0.5176405983596722,0.2159617037469705,8
xgboost,3,0.2584776897256929,0.09833001023232768,0.31758523355890605,0.10215866903358976,8
baseline_linear,4,0.4930400999005964,0.2406631788750498,0.5595673935527442,0.2404993360310902,8
xgboost,4,0.2709169778433365,0.12458205894623307,0.3308693822834094,0.12821223530094372,8
baseline_linear,5,0.5676603686526689,0.3090899624908084,0.6343969961386815,0.30596021081305524,8
xgboost,5,0.28487431755435266,0.12832041741686379,0.34683686698114635,0.13261739117795684,8
baseline_linear,6,0.6282557732868214,0.35084769318692477,0.6955630883167491,0.34548940227066627,8
xgboost,6,0.2954777520360221,0.16338872846776706,0.3523480312601326,0.16465481452825048,8
baseline_linear,7,0.6509043551434402,0.3643679130777346,0.7177082009419156,0.3604975233501613,8
xgboost,7,0.3259854493448362,0.18618363479049158,0.3895817630770447,0.1925412748258997,8
