horizon,model,mae,rmse
1,baseline_linear,0.47046417116660333,0.5522303595730502
1,xgboost,0.3195013628379412,0.3879296705587769
2,baseline_linear,0.48080853341175955,0.5646640105517668
2,xgboost,0.3550331709311986,0.42562043867740146
3,baseline_linear,0.5999681311203884,0.695105093200989
3,xgboost,0.3998594163354521,0.475956759942757
4,baseline_linear,0.6213327531768725,0.7191288239787625
4,xgboost,0.44285069870112775,0.5240936491361434
5,baseline_linear,0.7182854982706215,0.8288699140458252
5,xgboost,0.4586782287730359,0.5424444190339305
6,baseline_linear,0.8159590045431487,0.9374703677254506
6,xgboost,0.5335858643814279,0.6183507369268209
7,baseline_linear,0.9087334746672556,1.0316713903483097
7,xgboost,0.5737764327657987,0.6637320270073744
